1	0.000213
101	0.000221
201	0.000255
301	0.000356
401	0.000390
501	0.000456
601	0.000563
701	0.001354
801	0.001542
901 0.001697
1001 0.001277
1101 0.001349
1201 0.001384
1301 0.000975
1401 0.000874
1501 0.001160
1601 0.001396
1701 0.001186
1801 0.001082
1901 0.001182
2001 0.001336
2101 0.001616
2201 0.001884
2301 0.002203
2401 0.002401
2501 0.002485
2601 0.001753
2701 0.001668
2801 0.001839
2901 0.001921
3001 0.002038
3101 0.002552
3201 0.002712
3301 0.002607
3401 0.002935
3501 0.002733
3601 0.003126
3701 0.003202
3801 0.002882
3901 0.002811
4001 0.002631
4101 0.002700
4201 0.002679
4301 0.004071
4401 0.003363
4501 0.004610
4601 0.004032
4701 0.003567
4801 0.003510
4901 0.003295
5001 0.003359
5101 0.004275
5201 0.004265
5301 0.006117
5401 0.003656
5501 0.003729
5601 0.003703
5701 0.003812
5801 0.004591
5901 0.003923
6001 0.004476
6101 0.004806
6201 0.004488
6301 0.004106
6401 0.004308
6501 0.004394
6601 0.005838
6701 0.006476
6801 0.006081
6901 0.004661
7001 0.005347
7101 0.005372
7201 0.005424
7301 0.005262
7401 0.004989
7501 0.005141
7601 0.005604
7701 0.007062
7801 0.006122
7901 0.006308
8001 0.005549
8101 0.005587
8201 0.005608
8301 0.005723
8401 0.006165
8501 0.006007
8601 0.006077
8701 0.006394
8801 0.007081
8901 0.006814
9001 0.006518
9101 0.006724
9201 0.006504
9301 0.007788
9401 0.007114
9501 0.006621
9601 0.007426
9701 0.007213
9801 0.006811
9901 0.007675
